,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Sweater Weather","The Neighbourhood",1453856,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
56,"Therefore I Am","Billie Eilish",1444150,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
57,"Don't Start Now","Dua Lipa",1439866,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
58,"WAP (feat. Megan Thee Stallion)","Cardi B",1425960,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
59,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1421541,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
60,Fiel,"Los Legendarios",1416818,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
61,SugarCrash!,ElyOtto,1414282,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
62,"Best Friend (feat. Doja Cat)",Saweetie,1408381,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
63,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,1404152,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
64,"Roses - Imanbek Remix","SAINt JHN",1383760,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
65,"La Nota","Manuel Turizo",1305980,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
66,"My Head & My Heart","Ava Max",1304138,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
67,"Ele É Ele, Eu Sou Eu","Wesley Safadão",1282234,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
68,"No Te Enamores - Remix",Milly,1276194,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
69,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1243325,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
70,"Before You Go","Lewis Capaldi",1241331,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
71,"Facas - Ao Vivo","Diego & Victor Hugo",1226269,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
72,"Esquema Preferido","DJ Ivis",1214228,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
73,Goosebumps,HVME,1195893,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
74,Heather,"Conan Gray",1195432,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
75,"Machu Picchu",Camilo,1176958,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
76,"Además de Mí - Remix",Rusherking,1170313,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
77,Circles,"Post Malone",1163540,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
78,"TE MUDASTE","Bad Bunny",1156507,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
79,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1128617,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
80,"At My Worst","Pink Sweat$",1120706,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
81,"Follow You","Imagine Dragons",1112067,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
82,"lovely (with Khalid)","Billie Eilish",1109966,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
83,LOCATION,"KAROL G",1109715,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
84,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1106648,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
85,goosebumps,"Travis Scott",1106279,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
86,"Lucid Dreams","Juice WRLD",1095484,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
87,"death bed (coffee for your head)",Powfu,1094534,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
88,"Dámelo To’ (feat. Myke Towers)","Selena Gomez",1092545,https://open.spotify.com/track/36CiGk9oRdwTnBDMgKEfjl
89,"Coração Na Cama","Hugo & Guilherme",1089222,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
90,Shallow,"Lady Gaga",1086842,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
91,"Relación - Remix",Sech,1072127,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
92,Believer,"Imagine Dragons",1069009,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
93,"Holy (feat. Chance The Rapper)","Justin Bieber",1068502,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
94,Golden,"Harry Styles",1064950,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
95,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1063538,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
96,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1062873,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
97,"Chica Ideal","Sebastian Yatra",1061017,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
98,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1056731,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
99,"The Box","Roddy Ricch",1046002,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
100,"Adore You","Harry Styles",1039188,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
101,"Breaking Me",Topic,1037712,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
102,Señorita,"Shawn Mendes",1035168,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
103,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",1031892,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
104,"Mi Niña",Wisin,1030294,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
105,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1030061,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
106,"Hasta Abajo","Kevin Roldan",1027443,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
107,Memories,"Maroon 5",1027187,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
108,"bad guy","Billie Eilish",1016947,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
109,BEBÉ,Camilo,1012077,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
110,"Ropa Cara",Camilo,1007865,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
111,Afterglow,"Ed Sheeran",1003383,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
112,"Blueberry Faygo","Lil Mosey",997314,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
113,"The Hills","The Weeknd",993765,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
114,"Selfish Love (with Selena Gomez)","DJ Snake",974153,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
115,"Lonely (with benny blanco)","Justin Bieber",970379,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
116,"Musica leggerissima",Colapesce,968232,https://open.spotify.com/track/5vYXOk1umkpp7JhXZm6rDI
117,"Bohemian Rhapsody - Remastered 2011",Queen,967690,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
118,"Wishing Well","Juice WRLD",962302,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
119,"Shape of You","Ed Sheeran",958263,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
120,PROBLEMA,"Daddy Yankee",952829,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
121,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,949717,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
122,"Dreams - 2004 Remaster","Fleetwood Mac",949336,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
123,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",948648,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
